id,node_1,node_2
0,353,371
1,239,728
2,877,118
3,475,740
4,955,383
5,433,955
6,335,893
7,826,831
8,930,993
9,104,194
10,34,237
11,706,763
12,611,455
13,768,781
14,541,149
15,642,956
16,619,210
17,912,471
18,73,305
19,653,373
20,958,121
21,805,580
22,287,679
23,734,785
24,554,888
25,411,499
26,284,75
27,617,641
28,871,890
29,458,230
30,490,424
31,346,680
32,360,623
33,799,189
34,852,556
35,546,606
36,867,585
37,922,904
38,415,112
39,380,178
40,954,441
41,70,732
42,475,584
43,336,538
44,356,17
45,412,488
46,862,759
47,188,320
48,456,831
49,887,715
50,838,91
51,746,188
52,610,447
53,482,965
54,447,645
55,54,508
56,20,266
57,988,235
58,521,826
59,236,46
60,918,880
61,123,630
62,542,454
63,493,252
64,132,655
65,695,721
66,322,80
67,83,590
68,172,535
69,299,568
70,606,905
71,296,784
72,878,412
73,275,15
74,224,362
75,333,604
76,224,25
77,51,338
78,735,571
79,484,573
80,259,249
81,327,822
82,182,903
83,242,972
84,748,747
85,299,477
86,544,61
87,708,432
88,278,136
89,398,969
90,365,760
91,514,679
92,705,574
93,10,250
94,802,954
95,824,763
96,185,118
97,518,778
98,240,731
99,22,813
100,105,56
101,27,24
102,647,504
103,185,963
104,302,139
105,862,671
106,242,825
107,366,527
108,531,65
109,10,428
110,698,402
111,555,368
112,515,900
113,596,174
114,697,638
115,952,826
116,554,749
117,529,611
118,25,197
119,291,308
120,928,752
121,975,32
122,975,633
123,482,597
124,389,994
125,491,284
126,524,795
127,353,336
128,162,997
129,439,347
130,715,533
131,2,671
132,755,930
133,639,901
134,953,176
135,506,960
136,725,161
137,615,540
138,362,955
139,233,785
140,154,410
141,643,731
142,422,369
143,777,771
144,899,996
145,216,790
146,313,525
147,150,233
148,304,117
149,602,539
150,522,448
151,725,567
152,987,915
153,911,643
154,895,26
155,686,830
156,976,941
157,803,157
158,896,432
159,320,216
160,53,727
161,214,76
162,292,519
163,314,198
164,285,928
165,605,772
166,53,137
167,148,890
168,571,676
169,713,197
170,636,504
171,434,829
172,914,1002
173,581,631
174,999,958
175,399,702
176,373,535
177,498,262
178,936,779
179,257,798
180,831,934
181,536,362
182,544,105
183,605,845
184,310,409
185,481,664
186,175,315
187,763,244
188,697,613
189,38,721
190,594,250
191,834,6
192,118,934
193,946,843
194,226,194
195,0,286
196,355,407
197,734,716
198,891,485
199,282,613
200,74,904
201,609,732
202,421,884
203,720,873
204,902,209
205,689,816
206,30,127
207,518,984
208,316,75
209,98,106
210,417,90
211,215,774
212,182,139
213,976,247
214,43,429
215,680,335
216,258,166
217,22,457
218,872,130
219,677,620
220,987,276
221,738,823
222,331,25
223,194,245
224,995,572
225,884,754
226,902,823
227,606,675
228,459,711
229,906,478
230,596,934
231,260,563
232,916,71
233,384,350
234,21,807
235,377,549
236,762,613
237,735,665
238,410,832
239,900,594
240,15,33
241,487,443
242,927,899
243,431,929
244,886,975
245,620,658
246,371,622
247,49,55
248,98,49
249,918,694
250,287,569
251,815,29
252,452,989
253,573,387
254,783,486
255,234,894
256,25,545
257,955,820
258,190,553
259,496,83
260,364,915
261,688,932
262,621,42
263,355,620
264,147,372
265,866,667
266,461,220
267,644,35
268,791,921
269,190,969
270,474,18
271,654,437
272,595,554
273,662,658
274,278,465
275,405,160
276,956,375
277,970,127
278,475,947
279,796,355
280,97,309
281,846,988
282,608,122
283,950,966
284,698,815
285,771,376
286,256,961
287,187,750
288,312,768
289,75,967
290,217,219
291,361,697
292,929,600
293,814,613
294,984,288
295,672,536
296,105,999
297,523,623
298,867,578
299,365,972
300,674,410
301,132,943
302,363,738
303,696,312
304,667,74
305,226,188
306,886,591
307,141,332
308,115,582
309,215,339
310,989,468
311,113,415
312,151,454
313,19,548
314,716,914
315,250,667
316,525,254
317,996,139
318,715,666
319,288,279
320,183,799
321,962,857
322,86,314
323,698,235
324,682,875
325,13,355
326,359,227
327,525,213
328,517,794
